#ISO	ISO3	ISO-Numeric	fips	Country	Capital	Area	Population	Continent
JP	JPN	392	JA	Japan	Tokyo	377835	126860301	AS
TH	THA	764	TH	Thailand	Bangkok	514000	69428524	AS
ID	IDN	360	ID	Indonesia	Jakarta	1919440	267026366	AS
IT	ITA	380	IT	Italy	Rome	301230	60461826	EU
US	USA	840	US	United States	Washington	9629091	327167434	NA
CH	CHE	756	SZ	Switzerland	Bern	41290	8516543	EU
ES	ESP	724	SP	Spain	Madrid	504782	46736776	EU
FR	FRA	250	FR	France	Paris	547030	66987244	EU
GB	GBR	826	UK	United Kingdom	London	244820	66488991	EU
PT	PRT	620	PO	Portugal	Lisbon	92391	10276617	EU
NL	NLD	528	NL	Netherlands	Amsterdam	41526	17231017	EU
PE	PER	604	PE	Peru	Lima	1285220	31910656	SA
XX	XXX	000		Nowhere	None	1	1	AN
